Date,Open,High,Low,Close,Adj Close,Volume
2021-08-18,135.439774,135.678772,133.260040,133.336517,117.189423,3672192
2021-08-19,132.590820,133.317398,131.175903,131.950287,115.971054,4351465
2021-08-20,131.682602,133.250473,131.233276,132.992355,116.886940,2780059
2021-08-23,133.479919,133.986618,132.695984,133.479919,117.315437,3179422
2021-08-24,133.632889,134.063095,133.193115,133.690247,117.500298,2474418
2021-08-25,133.766724,134.608032,133.326965,133.709366,117.517120,2105389
2021-08-26,133.814529,134.608032,132.609940,132.676865,116.609642,2613640
2021-08-27,132.609940,133.451248,132.313583,133.279160,117.139000,2572637
2021-08-30,133.365204,133.728485,132.715103,132.858505,116.769272,2087293
2021-08-31,133.403442,134.741867,132.839386,134.168259,117.920441,4429915
2021-09-01,133.824097,133.910141,133.068832,133.173996,117.046555,2588327
2021-09-02,133.575531,133.891006,132.915863,133.852768,117.643135,2840413
2021-09-03,133.537292,134.292542,133.173996,133.441681,117.281853,2009575
2021-09-07,133.508606,133.642441,131.701721,131.988525,116.004662,3436110
2021-09-08,132.065002,132.973236,131.548752,132.571701,116.517220,3122728
2021-09-09,131.787766,132.848953,131.510513,131.682602,115.735779,3669682
2021-09-10,132.715103,133.240921,130.975143,130.994263,115.130806,4157955
2021-09-13,132.313583,132.877625,131.462708,132.074570,116.080284,4334729
2021-09-14,132.313583,132.476105,129.388138,130.229446,114.458611,4659198
2021-09-15,130.229446,131.739960,129.703629,131.166351,115.282028,3403579
2021-09-16,131.242828,131.883362,129.741867,130.430206,114.635056,2765624
2021-09-17,129.780121,129.942642,129.110901,129.282990,113.626770,5890340
2021-09-20,128.011475,129.235184,126.940727,128.403442,112.853737,4990152
2021-09-21,129.168259,129.684509,127.093689,127.122368,111.727783,4261927
2021-09-22,127.839386,129.416824,127.600380,128.709366,113.122604,3767901
2021-09-23,129.302109,131.376678,129.091782,130.717010,114.887123,3151807
2021-09-24,131.003830,132.390060,130.736145,131.443588,115.525711,3100762
2021-09-27,131.892929,132.954117,131.434036,132.466537,116.424789,3459017
2021-09-28,133.049713,133.546844,131.175903,131.424469,115.508919,4513072
2021-09-29,131.673035,133.776291,130.439774,133.059280,116.945747,3947499
2021-09-30,133.843216,134.388138,132.409180,132.820267,116.735680,6090230
2021-10-01,134.799240,137.638626,134.196945,137.017212,120.424377,6907889
2021-10-04,136.462708,139.579346,136.089859,137.772461,121.088135,7689251
2021-10-05,138.384323,138.623322,136.367111,136.854691,120.281532,7297524
2021-10-06,136.214142,137.065002,134.694077,136.099426,119.617714,5573506
2021-10-07,136.453156,137.093689,135.305923,135.573608,119.155586,3999695
2021-10-08,135.573608,137.332703,134.847031,136.921600,120.340340,3902940
2021-10-11,137.189301,137.743790,136.137665,136.166351,119.676544,2921792
2021-10-12,135.956024,136.042068,134.130020,134.292542,118.029640,3293436
2021-10-13,134.340347,135.191208,133.518158,134.569794,118.273331,3013003
2021-10-14,134.837479,137.590820,134.808792,137.084137,120.483192,4410668
2021-10-15,137.084137,138.479919,136.510513,138.250473,121.508293,3371049
2021-10-18,137.667297,138.565964,135.525818,136.061188,119.584129,6437189
2021-10-19,134.875717,136.653915,134.340347,135.736145,119.298462,4539117
2021-10-20,135.449326,135.946457,134.512421,135.659653,119.231201,6474008
2021-10-21,127.638626,127.839386,122.466537,122.686424,107.829048,32913959
2021-10-22,122.418739,124.521988,121.042068,122.256210,107.450928,12114981
2021-10-25,121.921608,122.992355,121.357552,122.026772,107.249275,6667204
2021-10-26,121.912048,122.657745,121.185471,121.539200,106.820755,8912861
2021-10-27,121.835564,122.256210,119.512428,119.665390,105.173859,7294176
2021-10-28,119.665390,120.755257,119.139580,120.305923,105.736824,6802138
2021-10-29,119.913956,120.764816,119.416824,119.598473,105.115044,6188973
2021-11-01,119.550667,120.755257,118.393883,120.726578,106.106529,6177153
2021-11-02,120.745697,121.577438,119.416824,120.630974,106.022514,4722062
2021-11-03,120.678780,121.692162,120.152962,121.539200,106.820755,5670784
2021-11-04,123.050003,123.339996,119.900002,120.849998,106.215012,7208700
2021-11-05,121.430000,123.769997,121.430000,123.610001,108.640770,6790500
2021-11-08,123.989998,124.779999,123.529999,124.540001,109.458153,5625300
2021-11-09,122.559998,122.900002,120.260002,120.849998,107.632370,7236600
2021-11-10,121.000000,122.430000,119.930000,120.220001,107.071274,6270300
2021-11-11,120.900002,121.790001,120.080002,120.269997,107.115799,4643300
2021-11-12,120.000000,120.639999,118.779999,118.959999,105.949074,5418300
2021-11-15,119.540001,120.160004,118.309998,118.870003,105.868927,5046300
2021-11-16,118.919998,119.900002,118.419998,118.459999,105.503769,4750800
2021-11-17,118.379997,119.330002,117.779999,118.059998,105.147514,4043300
2021-11-18,118.360001,118.360001,116.309998,116.660004,103.900635,5046900
2021-11-19,116.489998,116.559998,115.269997,116.050003,103.357346,5380200
2021-11-22,116.000000,118.809998,115.190002,116.470001,103.731415,6416200
2021-11-23,116.790001,117.940002,116.040001,116.790001,104.016418,4912800
2021-11-24,116.160004,117.269997,116.080002,116.730003,103.962967,3220800
2021-11-26,115.000000,116.339996,114.559998,115.809998,103.143593,3322000
2021-11-29,118.620003,119.610001,117.529999,118.500000,105.539391,8949800
2021-11-30,117.500000,119.239998,116.449997,117.099998,104.292511,9252700
2021-12-01,118.250000,118.930000,116.849998,116.919998,104.132179,5958300
